"Day1","Day2","Day3","Day4"
55,44,15,0
66,63,17,11
95,52,23,9
53,52,3,5
74,58,25,7
61,49,10,12
94,45,9,3
75,60,5,2
105,39,14,2
40,58,0,8
76,49,30,11
89,65,11,0
80,60,4,0
95,32,8,14
77,56,22,0
106,45,8,2
84,39,19,9
83,54,6,9
109,65,31,6
106,34,0,16
60,54,0,2
101,44,11,6
107,45,25,0
70,38,8,4
52,40,28,0
64,62,1,10
78,38,5,6
100,29,26,2
104,47,14,5
78,44,13,5
112,64,0,4
34,24,8,17
31,44,17,20
97,55,0,14
60,40,16,3
51,67,6,12
115,94,8,6
120,74,31,2
80,49,9,5
52,60,0,5
80,47,12,3
111,79,19,7
54,21,8,7
95,69,26,6
46,33,9,12
38,54,16,11
49,46,9,2
62,33,17,1
102,58,36,8
94,59,16,5
96,83,24,0
80,38,23,11
73,77,0,0
127,46,23,4
97,38,15,22
37,71,13,3
93,38,18,0
116,80,5,0
81,62,12,3
101,44,29,2
66,53,12,5
86,41,4,3
51,68,0,10
92,56,12,7
36,43,14,7
80,60,17,15
75,47,3,4
99,63,18,5
75,26,0,15
73,14,7,3
79,37,24,9
61,21,35,0
58,44,8,4
83,42,23,7
51,45,0,3
79,38,19,6
82,52,11,4
110,43,0,2
56,36,14,3
69,54,18,0
113,40,17,0
84,58,12,15
85,61,0,3
63,52,26,9
101,65,0,3
85,50,16,8
88,48,12,6
71,48,1,0
97,56,5,5
93,53,25,0
84,46,19,13
58,46,9,0
67,58,23,6
111,49,12,0
114,23,11,0
117,63,13,1
52,56,15,8
86,11,2,1
88,47,16,0
78,66,22,4
55,50,26,17
82,62,17,3
73,43,18,3
57,43,20,9
83,56,29,6
101,52,21,16
82,43,5,0
117,61,15,6
90,46,4,1
91,45,25,9
69,49,0,11
52,45,14,0
75,33,0,3
84,54,9,0
91,48,26,5
116,44,30,6
51,26,22,8
136,44,3,11
54,64,0,10
44,58,12,2
126,64,11,7
70,55,24,13
73,54,6,4
95,45,14,6
70,43,17,12
107,53,4,7
73,48,1,8
17,74,7,4
69,41,13,2
71,52,0,8
80,41,9,14
23,62,10,8
108,46,1,8
63,43,28,7
105,38,32,13
58,71,0,14
79,67,19,1
81,52,12,9
82,47,17,11
81,43,28,2
29,47,18,0
69,47,13,4
17,62,18,5
106,79,6,7
31,6,3,0
98,51,23,5
55,41,9,0
93,68,4,12
73,76,16,1
69,34,30,5
82,37,28,9
103,14,28,10
117,56,23,7
79,62,29,4
64,62,24,2
69,68,5,14
106,42,19,4
102,41,8,9
107,91,15,10
61,65,19,6
69,33,10,20
116,28,0,2
60,76,15,11
78,52,25,10
57,37,15,9
20,42,4,10
70,60,10,8
86,45,6,10
47,55,19,7
32,20,14,5
83,29,21,7
73,59,22,10
80,59,27,0
58,56,25,6
66,77,19,0
112,27,15,15
107,53,1,0
147,39,10,0
67,59,13,9
109,20,20,8
72,69,14,4
72,81,14,0
44,25,25,0
62,47,4,2
96,37,4,9
109,32,13,2
70,42,23,14
55,20,14,2
88,41,8,5
99,43,30,2
80,33,16,11
95,36,10,2
97,19,12,3
69,39,10,6
62,28,7,4
106,73,22,5
128,66,18,10
70,58,12,12
55,55,19,0
81,59,8,14
72,40,25,3
38,66,11,0
94,48,23,1
98,34,9,8
58,49,17,3
89,74,3,4
63,12,28,11
57,61,32,9
27,29,18,3
79,7,24,4
34,65,13,17
101,47,28,0
41,56,9,0
111,55,22,0
67,33,18,11
56,16,23,10
111,19,21,11
89,55,18,9
84,61,0,6
59,82,22,0
63,69,12,10
57,39,18,1
80,43,0,1
49,42,16,3
72,65,41,6
89,65,6,2
44,80,3,7
103,60,6,2
93,43,5,17
39,51,23,8
94,58,0,0
63,48,9,4
59,40,19,3
88,40,18,12
83,33,0,4
18,34,28,14
81,45,2,7
81,62,24,3
41,54,7,1
95,59,7,4
99,36,29,8
46,52,38,10
85,62,24,7
108,63,14,4
60,32,22,1
122,47,26,6
85,46,16,0
100,53,11,0
70,47,23,7
20,25,2,7
98,51,19,3
36,19,15,0
82,44,20,5
109,64,2,9
41,42,20,7
31,57,29,1
104,46,7,3
19,61,0,8
51,57,5,5
122,33,23,12
78,48,31,10
107,27,23,13
48,90,1,0
73,43,9,0
85,48,20,8
44,58,7,3
86,44,23,7
118,52,25,8
87,60,16,9
55,34,16,10
53,63,16,8
131,26,0,2
72,72,26,0
53,76,8,10
98,52,9,3
80,61,28,9
74,63,10,12
60,32,8,8
100,56,14,3
82,54,22,5
77,18,33,0
102,42,0,0
80,49,17,7
100,35,26,8
118,55,4,14
93,54,25,3
95,61,23,5
92,69,24,9
76,47,16,5
61,25,19,8
29,59,20,1
102,52,20,1
115,79,36,10
16,51,19,8
57,42,22,7
79,83,14,12
62,57,8,16
43,57,0,9
62,71,9,5
74,19,20,9
83,52,11,8
89,48,22,4
74,57,24,10
69,55,13,8
77,56,0,5
78,75,33,4
139,88,25,5
113,76,28,12
37,58,14,5
87,56,10,0
47,67,23,9
68,47,36,10
58,65,0,0
113,52,12,6
60,30,5,7
67,44,11,7
87,62,0,0
109,47,15,4
12,35,20,7
113,52,8,3
79,47,37,2
51,18,25,0
86,83,19,7
51,60,29,7
48,59,23,3
75,39,29,6
75,46,7,7
80,74,30,2
69,87,4,19
41,64,19,12
40,47,5,0
100,60,26,0
37,60,4,0
93,52,17,4
55,73,0,6
99,39,15,16
73,44,25,0
68,65,26,9
82,50,11,1
87,71,19,2
84,73,25,7
59,75,11,12
93,60,29,12
107,51,7,1
60,51,11,2
42,33,18,0
86,24,25,4
63,86,1,8
51,39,0,0
98,44,7,1
97,56,17,7
61,60,0,0
65,24,26,12
94,58,25,7
78,48,14,10
130,51,0,8
62,56,2,9
107,52,10,0
83,43,7,0
87,46,17,5
67,65,18,3
63,51,13,2
61,33,0,1
56,59,15,3
90,70,26,4
49,18,22,0
36,48,10,1
47,57,6,7
33,49,18,1
82,41,18,0
139,52,9,0
97,61,17,10
105,61,12,1
96,31,0,12
103,60,22,8
42,63,12,0
74,62,34,2
74,52,8,9
76,55,23,10
41,75,15,6
46,60,8,4
105,67,24,5
111,24,0,7
77,61,32,3
80,67,13,0
67,49,32,4
42,71,18,8
97,46,6,7
63,62,16,0
53,37,0,7
107,41,29,7
106,48,21,0
99,68,11,6
118,67,7,0
96,55,0,0
70,35,26,4
109,43,18,7
87,39,0,17
68,61,44,9
67,58,26,5
108,64,27,11
100,67,30,4
79,34,0,8
44,85,15,6
63,40,20,0
98,48,16,0
90,58,8,10
68,38,12,10
90,53,12,8
104,38,38,6
70,47,31,2
95,52,23,7
76,42,26,10
98,58,17,5
34,64,10,5
37,52,23,0
74,49,16,8
48,52,0,9
83,48,35,2
56,74,18,0
83,23,4,6
119,57,14,2
70,56,19,1
75,62,8,6
72,41,6,0
112,29,21,9
64,33,2,0
69,74,33,1
125,38,11,5
105,66,9,13
78,39,3,3
99,15,1,9
93,47,19,8
76,64,13,11
94,36,13,14
45,44,5,1
70,51,16,15
41,52,31,9
106,27,6,7
56,52,13,13
48,50,20,4
65,26,26,9
51,28,0,0
116,51,6,8
50,37,3,2
100,53,7,11
20,50,3,12
97,62,0,4
108,57,14,6
61,51,24,5
57,69,15,8
113,32,23,3
108,67,13,12
88,52,15,0
94,58,5,0
92,18,26,2
72,36,36,2
82,43,33,7
64,34,0,10
75,58,20,0
83,42,20,15
120,73,0,1
57,62,21,4
66,48,3,8
70,52,15,11
95,44,5,8
67,22,20,7
