"Day1","Day2","Day3","Day4"
69,47,21,4
68,43,19,10
92,41,9,10
69,53,8,0
39,53,0,11
41,51,9,10
74,45,26,1
61,60,12,8
110,81,17,4
72,49,20,0
88,41,27,10
38,62,14,4
52,50,39,5
72,68,22,7
96,43,13,8
19,46,21,7
92,27,5,4
86,66,14,4
87,57,32,8
128,49,17,0
57,30,6,6
51,45,7,1
66,47,16,6
88,66,32,0
57,32,26,1
61,52,22,14
74,57,31,1
68,37,34,6
29,43,28,4
43,56,25,6
98,77,0,7
98,53,4,6
45,53,24,0
102,64,9,6
66,59,14,12
116,34,13,15
72,65,0,2
64,38,30,13
42,69,21,5
88,72,31,3
99,62,23,6
33,59,12,7
100,33,7,2
83,40,31,6
37,49,9,6
64,52,0,10
142,78,11,15
53,50,0,9
66,46,10,11
88,50,5,2
138,47,10,7
97,41,29,1
63,37,9,7
53,71,0,0
87,39,9,5
47,60,32,7
84,46,14,4
67,45,25,7
104,25,14,12
62,74,4,3
73,51,0,2
84,29,0,4
76,34,15,5
35,38,7,10
81,34,15,2
52,55,29,5
46,70,17,7
100,63,0,2
89,69,0,2
100,61,24,2
77,53,0,2
109,55,14,8
81,63,0,4
110,50,5,0
91,46,15,10
99,69,31,7
99,50,23,5
100,38,24,11
94,33,13,12
52,60,14,3
83,49,19,10
111,89,17,6
62,43,13,4
91,22,0,8
92,40,14,6
64,26,21,6
52,63,1,13
47,64,0,4
81,65,38,15
90,49,12,3
90,32,0,12
32,46,30,13
80,34,15,5
56,54,28,1
64,33,9,12
105,51,18,4
63,37,33,5
39,36,25,1
67,60,19,1
103,47,7,2
48,77,17,8
132,41,4,7
122,63,13,7
73,81,17,9
88,29,5,10
65,40,14,5
116,57,36,8
119,38,18,7
76,55,15,6
78,37,21,3
30,39,22,0
107,50,10,6
72,63,16,6
79,60,20,4
84,55,11,0
25,37,12,3
84,51,2,5
60,57,15,0
85,39,11,4
61,37,11,9
57,40,34,4
97,50,26,2
43,32,9,4
14,28,13,6
25,36,19,6
83,49,21,6
77,63,4,4
68,68,16,6
72,46,14,8
61,44,19,9
59,42,19,4
87,50,22,3
72,77,11,0
85,47,0,0
108,50,0,6
65,80,17,0
110,39,22,11
110,60,8,8
45,54,10,5
54,39,24,4
71,43,9,9
73,46,3,1
96,53,23,15
78,41,12,11
86,41,14,8
63,41,15,12
46,32,15,4
73,64,8,0
40,25,2,0
82,41,23,2
101,45,0,4
108,39,17,9
121,62,11,6
96,28,25,4
81,89,18,6
95,26,14,6
64,50,27,12
55,39,17,8
79,65,15,4
72,57,6,0
39,43,18,0
52,65,26,11
42,45,4,7
50,60,7,6
74,39,10,5
75,49,3,14
116,42,13,3
29,51,22,0
84,51,14,9
95,47,3,0
80,60,16,5
100,48,0,8
62,28,0,12
105,38,27,7
86,41,15,13
87,65,0,0
69,39,21,5
58,39,13,3
55,79,19,7
84,55,23,4
77,40,15,1
58,44,4,4
69,40,19,9
62,46,16,2
11,49,17,13
88,54,9,14
69,48,24,0
96,60,20,9
71,52,14,6
78,90,17,12
86,82,8,12
81,33,16,0
92,48,31,7
97,34,0,2
92,35,10,13
25,41,3,0
5,41,19,0
48,49,30,7
44,42,3,7
65,81,18,3
77,23,33,10
78,41,10,6
127,50,21,0
82,60,2,10
122,40,17,0
69,68,21,5
89,62,10,8
119,29,5,10
53,53,29,8
80,29,7,5
56,47,21,6
96,55,24,7
64,43,24,7
69,51,15,8
69,37,7,1
53,49,13,1
113,53,13,0
76,43,8,4
40,28,4,7
95,63,8,0
68,95,24,0
71,57,5,8
103,37,17,1
61,62,14,0
57,67,11,11
65,41,0,11
42,67,5,5
16,38,29,0
69,60,14,1
70,56,10,10
82,59,2,10
113,49,3,7
89,27,26,8
84,41,13,0
116,54,1,4
74,38,26,2
78,55,21,5
44,50,3,8
90,61,17,2
80,19,24,0
26,52,34,7
82,50,5,8
60,53,28,0
95,46,37,3
47,62,0,4
83,50,0,5
101,79,18,6
77,44,12,6
66,45,11,0
68,62,13,3
69,54,14,2
59,73,15,3
92,90,30,6
84,62,14,8
61,49,2,0
96,66,29,12
58,19,8,2
110,62,25,4
48,37,22,5
113,45,9,7
78,43,7,10
63,46,20,9
103,8,10,7
55,50,2,3
70,31,12,3
98,45,0,10
65,89,33,0
60,14,25,12
24,56,26,9
78,67,19,5
73,17,16,8
55,29,0,0
64,27,15,10
83,76,14,6
79,35,0,1
63,70,23,0
111,23,14,7
51,47,27,7
49,51,14,0
90,61,16,3
41,26,29,1
46,48,5,9
73,74,6,0
83,56,21,2
76,80,28,1
100,66,22,0
50,73,10,5
98,66,21,13
84,62,24,11
97,58,22,6
97,34,30,2
94,44,13,7
94,52,20,1
64,61,12,0
89,14,0,2
92,42,0,7
66,50,17,8
73,81,7,14
99,34,28,11
61,57,3,3
73,43,26,13
75,37,5,11
94,52,28,0
46,25,3,2
36,62,16,5
66,24,21,11
70,93,6,4
90,37,23,2
92,62,33,1
86,59,11,6
108,40,19,3
78,39,3,3
59,55,10,5
117,43,16,0
42,44,21,9
70,36,35,6
66,48,8,8
84,58,20,5
49,44,3,2
67,48,20,14
89,54,29,10
70,71,26,3
48,64,22,0
71,56,13,4
55,41,11,3
66,42,8,0
70,38,29,6
74,21,24,4
38,33,24,9
72,71,6,0
55,45,13,0
59,46,13,0
63,39,16,5
67,45,26,0
91,56,10,4
80,50,10,0
51,45,23,6
75,57,0,7
105,75,3,12
92,45,21,8
87,51,24,5
82,47,14,5
93,44,3,0
39,45,21,0
152,67,6,2
71,31,11,12
65,57,18,0
121,89,12,15
21,25,24,6
81,65,5,0
120,34,23,2
89,73,13,0
64,29,12,3
104,81,19,5
120,31,34,6
97,26,13,10
65,41,27,0
38,35,0,0
72,54,32,3
60,27,7,1
64,66,15,8
81,40,27,6
78,72,9,12
73,75,10,5
81,36,16,12
78,45,5,2
113,81,20,9
91,62,13,6
97,41,13,7
84,71,29,1
25,32,3,7
67,39,15,3
78,58,24,11
108,69,11,8
66,50,14,11
75,54,13,8
74,65,2,7
70,23,20,6
104,59,10,6
105,5,22,0
86,51,10,16
115,48,22,13
53,73,5,0
20,56,32,0
107,46,14,10
68,71,10,5
74,53,31,0
49,63,0,7
63,29,19,2
64,56,20,4
46,55,17,6
72,26,2,3
102,39,8,9
38,53,7,0
72,52,29,4
86,49,19,12
44,92,19,11
17,49,0,0
29,16,10,10
60,27,14,3
62,37,0,6
112,44,8,0
46,24,21,0
95,48,28,7
76,54,26,15
84,86,15,11
92,48,15,10
89,68,11,3
66,16,12,5
114,33,21,8
58,47,15,0
108,39,21,0
43,49,21,1
78,58,17,9
81,38,33,11
57,26,12,0
64,37,27,4
82,53,20,0
83,37,17,6
47,57,6,4
83,53,4,0
108,44,6,2
50,63,13,11
77,66,27,10
61,45,15,9
74,41,4,7
97,63,20,6
95,69,13,3
49,20,16,0
97,41,7,7
121,49,0,0
54,26,13,4
89,33,17,0
75,63,31,12
61,46,1,4
74,44,21,14
75,48,28,0
83,27,6,12
92,49,13,0
53,27,5,4
81,48,26,9
57,23,28,7
102,35,22,10
116,26,12,0
44,55,0,11
81,32,18,0
137,44,20,13
77,41,14,4
76,55,20,4
48,38,17,2
89,26,32,8
94,34,22,8
91,57,27,4
47,32,6,0
50,72,24,2
86,39,9,6
72,35,31,20
42,44,20,12
70,44,0,3
82,69,0,0
46,42,15,11
118,62,5,9
105,60,20,0
59,54,16,5
60,60,27,6
61,35,19,5
51,34,0,9
74,47,22,5
62,42,19,0
37,41,0,10
36,43,0,5
94,42,23,0
39,55,42,6
93,51,28,11
124,41,11,9
20,47,29,7
48,45,19,12
31,41,24,2
88,66,10,0
98,37,21,0
21,77,34,14
44,57,12,7
77,65,10,0
93,36,23,2
82,68,14,9
63,61,31,0
67,47,0,6
104,42,17,5
55,72,15,1
56,65,14,3
109,74,14,2
97,68,6,6
74,58,16,2
65,78,12,5
98,52,8,14
82,33,26,7
62,31,31,1
62,33,31,2
96,35,25,10
91,47,12,2
51,29,14,6
94,49,12,4
63,67,0,3
79,49,0,0
64,50,10,0
72,39,5,0
79,41,7,6
77,55,21,9
76,61,11,11
80,72,18,11
30,56,12,0
43,64,10,6
41,82,1,5
73,55,24,0
135,60,0,3
61,47,26,7
96,65,20,8
48,26,11,0
90,76,18,4
0,54,20,0
66,58,6,5
56,53,14,0
129,57,26,0
96,70,37,1
135,35,18,13
37,58,16,9
82,65,29,0
75,30,16,6
116,65,0,3
76,73,16,5
29,54,8,5
46,94,0,0
64,55,6,3
63,87,0,0
76,54,8,12
93,59,31,4
94,38,15,0
79,57,14,5
82,30,23,0
80,42,20,5
74,25,20,1
75,64,41,7
77,42,19,3
72,47,18,6
82,47,19,0
56,64,26,4
93,43,21,12
52,46,13,7
77,41,1,0
75,52,17,0
62,26,18,8
120,61,7,9
44,84,15,4
77,40,13,12
83,40,5,5
106,59,27,16
123,54,8,9
79,71,19,11
57,46,13,10
63,61,23,5
105,69,11,15
42,32,18,1
131,30,35,10
82,43,2,0
118,56,15,1
87,47,0,14
29,48,21,14
124,41,0,0
89,43,0,12
75,68,2,0
20,53,12,11
52,34,18,7
70,59,36,2
101,49,24,8
86,63,28,8
51,46,14,4
75,48,13,8
74,59,13,4
75,50,5,11
129,27,5,6
71,45,4,0
103,38,5,7
96,38,21,12
78,59,17,0
143,40,8,4
83,36,20,1
65,63,0,9
113,57,21,8
93,54,5,10
77,81,9,3
34,57,10,2
88,54,6,6
61,29,0,7
54,87,8,5
60,47,18,9
17,56,28,7
64,42,9,4
64,46,13,3
58,53,28,5
72,23,16,0
90,79,11,3
98,53,16,0
41,48,15,0
64,46,14,5
74,56,11,0
126,34,19,14
75,55,25,3
17,23,2,14
64,33,9,8
71,46,24,9
64,43,31,5
65,45,19,4
53,60,11,3
64,41,18,4
75,48,30,2
94,37,17,2
43,56,16,0
43,26,33,2
96,28,9,6
65,61,12,0
77,27,17,9
126,56,0,5
39,62,12,0
145,32,12,9
98,49,39,15
84,76,4,13
78,72,0,5
79,45,6,4
81,79,26,4
63,64,1,4
86,76,28,1
61,82,0,0
16,65,12,9
115,57,23,9
100,40,10,1
69,54,18,5
60,28,17,2
70,54,23,7
41,44,13,5
107,35,2,12
76,34,10,17
113,83,23,12
76,39,4,7
104,13,26,9
81,39,9,5
123,59,32,4
78,48,16,13
59,43,16,0
60,59,0,2
117,61,8,6
95,62,12,5
110,63,31,3
53,26,9,4
99,74,4,10
41,67,12,0
74,76,10,2
46,37,10,4
58,19,17,2
96,51,13,0
83,52,11,10
21,62,5,8
107,44,19,3
83,75,12,8
100,77,9,6
58,51,13,6
66,70,25,0
59,68,18,8
88,93,13,8
71,82,26,7
121,65,3,8
114,29,4,6
94,38,33,8
51,52,4,0
80,41,12,1
95,48,6,2
97,45,0,12
8,42,13,4
74,29,3,6
97,51,27,12
77,76,15,4
65,48,8,0
107,72,21,4
86,62,25,1
50,16,11,5
89,45,12,10
114,55,36,11
85,51,16,9
71,93,34,2
128,78,25,9
26,34,18,6
105,49,17,17
105,47,5,2
100,85,20,5
67,37,12,7
83,50,17,0
52,27,13,0
45,41,15,0
99,37,12,3
103,49,4,4
47,37,16,3
68,51,17,7
73,56,18,9
89,61,18,12
83,58,18,5
28,42,15,1
63,52,32,0
81,65,31,0
103,36,38,0
79,59,21,0
53,49,32,18
81,56,32,6
37,46,9,7
134,44,31,10
81,41,13,2
86,41,19,6
39,42,14,12
48,38,12,5
54,47,16,1
82,26,30,5
44,27,8,0
55,61,11,4
94,28,23,9
88,60,22,6
99,22,24,4
55,35,10,2
45,45,11,4
108,61,10,8
53,61,19,18
101,34,31,3
96,45,20,5
54,53,29,0
69,38,14,8
63,61,11,8
72,44,16,6
88,53,22,3
47,92,27,11
82,29,0,12
71,57,32,12
62,49,11,5
120,53,24,13
77,61,0,12
89,60,29,9
47,64,16,12
41,48,12,0
82,40,18,1
47,61,32,2
61,66,19,3
76,45,12,3
63,49,5,3
87,56,12,9
72,29,30,7
89,31,27,1
94,63,10,4
43,47,20,8
32,63,16,13
54,50,23,3
49,39,41,3
76,31,0,0
45,44,37,0
75,48,12,0
78,53,5,8
70,64,0,16
13,58,17,0
94,27,5,2
37,36,0,2
87,50,0,4
76,52,7,11
149,39,11,0
79,37,41,6
53,45,29,8
46,22,31,1
46,27,17,0
89,34,6,5
71,72,5,15
79,42,15,8
80,70,7,4
39,49,16,3
58,31,21,10
67,68,14,6
115,77,15,2
83,49,9,6
43,49,21,1
44,88,19,9
62,58,25,3
74,53,7,1
56,42,1,16
76,48,0,4
99,18,5,7
47,65,26,7
133,40,20,2
90,51,18,6
48,74,21,5
116,69,16,0
61,48,18,0
90,43,0,12
94,17,18,8
82,55,22,13
83,32,4,7
93,44,23,8
102,24,23,4
75,69,13,0
79,63,26,4
85,59,28,8
77,37,5,1
109,36,9,3
71,59,21,11
93,60,19,7
64,52,12,4
85,57,27,0
72,50,19,8
62,23,18,3
121,44,7,0
46,55,14,1
105,30,2,3
55,8,17,5
103,48,17,2
75,73,8,4
73,36,4,3
32,35,6,0
62,24,8,7
95,53,18,5
145,49,31,10
58,28,0,8
107,50,5,2
107,50,3,12
56,54,21,4
44,66,21,2
72,47,30,0
78,28,10,4
52,41,15,17
29,66,6,4
60,37,20,0
68,51,8,6
55,74,8,6
47,20,20,0
62,61,31,3
89,67,28,0
59,53,20,1
58,19,4,0
42,46,13,2
120,77,11,7
65,47,18,10
62,45,9,9
54,79,30,1
81,63,13,5
87,48,15,2
31,47,27,0
99,68,27,1
90,63,20,9
67,48,1,7
79,55,0,0
100,60,20,0
40,47,15,0
52,38,22,5
100,46,6,8
97,46,21,15
102,43,19,7
58,51,8,5
69,59,23,1
77,45,4,13
94,52,16,6
66,38,12,7
73,75,13,5
69,61,32,9
81,46,3,9
117,70,16,9
125,75,12,11
61,72,16,7
85,80,5,14
40,69,25,8
80,47,0,2
107,55,11,0
72,63,11,4
101,43,15,8
95,53,21,13
90,43,11,1
67,36,23,3
87,63,17,6
69,47,18,10
31,57,11,8
71,33,6,8
25,56,23,2
82,55,7,9
98,54,15,0
83,71,12,11
113,56,1,5
77,51,14,2
62,43,12,11
47,33,17,0
80,79,12,0
75,58,0,20
33,47,17,2
33,76,11,12
104,51,20,12
57,42,26,12
44,43,0,7
54,76,11,6
23,60,18,6
67,22,14,0
73,42,7,0
58,77,16,6
69,53,16,0
81,39,15,4
72,51,14,8
59,67,30,7
44,45,0,2
102,56,16,1
0,66,12,9
40,43,4,10
94,53,36,4
80,76,13,2
103,50,1,4
42,84,18,6
62,24,2,10
86,31,26,2
92,44,0,8
67,65,16,10
124,80,35,4
64,58,16,9
102,56,20,14
64,50,16,2
75,87,29,8
89,48,44,0
82,44,12,0
0,63,26,5
63,71,39,8
53,25,8,13
90,63,16,9
93,26,22,14
40,37,24,7
84,39,10,0
81,63,23,9
0,61,18,10
83,53,28,0
77,53,12,3
67,32,20,15
109,56,20,7
102,68,0,5
84,47,0,7
67,37,9,0
34,34,21,7
29,22,2,10
31,55,20,1
40,32,15,6
79,78,16,3
46,65,3,6
124,18,9,12
83,53,10,8
109,42,14,7
118,49,31,9
84,39,32,4
51,69,0,3
88,76,35,2
71,58,26,3
83,64,17,0
52,46,21,2
51,30,24,1
93,43,21,0
32,47,15,0
58,50,21,1
80,66,17,0
88,44,22,6
95,67,14,12
69,62,26,0
73,32,0,1
89,29,20,9
104,56,9,0
67,28,5,2
64,55,6,1
49,49,19,0
60,44,11,1
96,64,8,5
74,40,0,9
53,65,7,6
34,69,19,6
49,55,22,3
89,50,23,8
69,52,18,20
106,33,21,11
57,57,12,4
86,60,8,4
90,58,17,12
26,46,0,8
68,68,20,13
56,59,5,5
109,18,0,2
48,47,11,5
110,46,23,9
64,51,12,12
44,66,20,1
72,52,19,1
10,34,11,4
67,44,35,5
36,36,18,7
41,23,7,4
101,59,0,10
49,41,17,3
40,61,23,8
118,59,6,7
93,46,10,8
58,52,0,0
48,90,0,14
67,61,8,8
99,58,34,0
36,59,29,10
55,40,20,0
78,77,12,8
53,33,36,3
80,52,11,10
89,42,9,0
97,51,19,10
65,37,20,9
71,84,2,7
56,61,13,4
48,31,10,5
69,79,24,16
104,78,10,7
38,56,16,4
65,42,4,9
40,26,22,4
92,43,28,4
69,44,16,4
49,26,6,3
59,55,20,12
71,63,18,0
70,76,13,8
70,68,28,1
83,43,17,13
58,43,7,0
53,62,20,1
29,59,13,0
75,54,33,7
63,38,21,0
58,50,16,5
65,58,23,10
75,57,20,8
77,57,8,3
45,34,9,10
134,45,0,9
111,66,0,8
97,50,15,0
59,48,25,5
84,57,14,7
91,45,36,2
47,52,11,17
90,43,0,5
65,62,9,0
101,45,22,1
59,56,11,2
71,80,17,11
63,56,21,7
78,53,15,5
83,61,20,1
89,55,20,3
89,62,37,14
113,27,24,5
107,29,17,8
49,70,26,7
134,37,13,6
100,59,18,11
81,43,19,5
55,45,24,6
52,38,32,7
77,48,17,6
73,65,25,0
63,43,25,8
63,17,15,2
54,24,17,4
100,18,0,3
74,53,24,0
76,46,32,11
104,29,38,9
55,64,23,11
74,47,21,5
118,49,22,4
16,38,0,7
94,82,0,6
71,61,40,6
81,64,22,9
108,50,11,4
86,58,23,14
92,45,18,10
58,48,14,10
108,50,14,13
33,49,7,0
107,13,19,0
80,43,32,8
34,52,12,0
89,50,5,0
94,45,20,6
74,37,7,0
61,58,2,2
90,50,0,7
68,25,29,0
66,76,14,5
67,64,4,8
42,43,5,12
62,32,30,12
86,73,17,1
94,43,18,7
101,67,3,15
77,12,9,5
0,56,13,6
56,51,9,0
69,55,2,22
79,49,21,7
31,63,13,6
78,45,13,0
67,39,26,2
41,51,28,4
95,28,6,6
79,69,13,12
76,35,11,2
77,58,24,0
71,33,15,0
62,46,5,2
95,64,32,7
95,30,11,0
79,45,23,4
84,63,28,0
88,57,8,1
84,31,21,10
56,60,9,5
68,48,16,0
112,56,13,3
58,54,9,4
100,43,21,4
46,55,15,6
68,68,10,5
73,56,4,2
80,55,3,5
104,51,31,5
88,14,23,0
57,10,3,1
100,64,0,0
55,86,12,10
67,96,22,8
87,36,2,5
122,15,9,14
94,25,0,0
52,64,26,0
76,51,17,4
53,52,22,5
58,79,11,5
43,49,20,0
50,30,28,6
33,42,25,8
66,47,9,1
81,28,29,2
57,44,18,4
78,18,24,11
42,41,32,5
92,52,10,14
49,79,24,12
21,21,13,9
43,50,5,14
129,49,21,6
77,30,15,4
52,22,10,0
74,22,5,7
94,58,12,2
88,52,13,8
69,41,0,8
56,23,0,0
97,71,23,0
135,45,18,5
104,65,15,7
56,46,20,8
106,41,9,6
57,49,11,0
119,15,5,5
57,85,10,11
58,55,25,0
120,63,36,8
34,55,11,6
74,49,1,4
113,42,19,11
88,48,16,11
86,55,15,8
54,62,7,7
87,67,24,15
73,65,29,0
89,32,31,6
69,72,0,6
68,44,21,17
114,26,0,1
99,75,0,19
62,45,24,9
95,38,26,20
100,28,29,0
97,70,18,8
86,41,23,0
53,25,26,14
97,40,7,10
88,61,19,4
124,55,12,4
98,39,18,10
73,42,18,9
30,45,35,8
59,76,15,4
45,51,21,6
107,87,16,0
88,22,27,10
101,38,0,4
74,68,14,6
55,61,7,11
84,54,10,7
70,29,10,0
87,37,19,0
68,48,1,2
69,47,0,11
107,46,19,6
85,73,29,8
46,40,14,7
56,68,18,13
63,52,20,0
56,68,0,5
50,60,22,0
85,45,0,9
63,47,17,8
70,46,10,9
66,41,4,0
95,40,19,0
72,70,1,13
109,41,22,1
104,69,12,9
98,49,10,0
95,54,17,11
115,47,23,13
75,41,25,14
65,35,5,5
106,48,30,2
35,24,17,4
121,52,8,0
69,64,9,5
30,41,8,0
82,71,17,4
114,55,32,5
106,25,20,9
74,45,15,6
108,63,0,4
90,71,6,9
91,60,9,5
60,51,9,2
81,61,41,7
72,58,2,1
64,61,8,5
107,65,14,10
73,24,21,0
75,68,4,8
60,58,22,8
58,46,15,11
60,60,17,6
108,63,7,5
54,39,18,9
46,85,16,5
111,61,3,8
59,35,10,1
101,39,21,6
60,36,23,1
46,57,21,2
74,49,22,0
58,44,17,4
65,47,21,8
58,45,36,13
101,52,11,9
48,41,25,5
64,56,23,0
124,25,28,8
65,50,26,5
117,43,10,2
88,44,0,4
91,40,16,0
92,58,14,9
84,31,12,0
68,30,26,13
56,48,23,2
107,36,5,7
45,62,17,8
72,54,7,4
73,57,0,12
64,46,23,10
69,17,24,6
42,81,1,0
63,51,0,4
81,57,29,10
35,52,3,8
85,56,26,8
115,59,29,2
73,55,6,8
80,55,23,0
91,67,3,3
42,43,17,11
99,30,7,0
72,48,12,0
59,31,17,3
59,79,4,7
76,28,8,3
85,40,2,8
75,50,27,4
90,58,9,5
64,59,11,6
110,65,0,3
160,79,0,6
47,46,5,4
88,53,10,3
105,79,19,12
48,34,12,9
43,56,13,5
26,30,12,1
103,51,0,7
75,53,31,3
115,47,18,0
84,63,32,7
58,47,24,0
79,42,22,12
66,43,16,3
88,24,18,1
89,43,3,8
75,70,34,0
132,63,27,4
58,42,4,11
86,61,0,5
95,58,19,3
76,60,29,0
78,73,17,3
78,38,18,3
68,41,13,6
134,70,8,3
20,58,30,0
94,51,34,8
103,45,20,0
87,64,33,0
66,36,25,4
56,50,24,1
116,40,23,0
92,43,13,0
113,64,34,5
109,47,19,3
66,44,3,3
123,70,23,7
99,29,24,2
45,49,16,4
83,80,11,7
139,53,17,3
103,77,24,2
64,53,30,6
51,51,26,0
102,43,4,5
103,47,9,1
75,54,0,2
91,51,32,11
71,39,7,10
63,51,18,8
62,31,11,18
70,73,26,5
106,57,13,9
75,40,0,7
72,46,11,4
79,54,7,0
100,50,6,0
77,23,18,9
85,40,16,1
55,26,9,11
108,87,20,6
74,52,10,5
110,66,9,1
57,46,21,3
78,34,0,2
66,83,19,6
63,60,17,15
41,44,19,7
85,59,12,0
51,78,6,5
39,35,6,10
20,30,34,3
117,42,8,2
44,62,5,8
85,52,3,2
155,49,16,5
105,66,16,3
50,82,4,2
96,32,22,5
41,57,15,0
80,37,13,7
70,54,10,2
102,67,15,3
8,39,7,0
77,53,20,10
85,52,29,5
98,72,12,0
51,37,14,6
139,39,25,10
100,59,17,0
48,41,2,1
92,72,0,5
97,55,21,6
47,42,5,0
91,67,18,0
116,64,31,1
87,51,18,0
57,69,24,12
133,36,0,11
107,27,27,13
34,41,23,5
82,66,28,5
88,61,14,3
66,46,16,4
60,41,6,5
60,72,28,16
106,44,19,6
58,52,17,17
81,24,12,6
89,44,13,6
100,48,27,0
0,72,31,12
81,40,21,8
64,35,13,0
75,58,21,4
71,62,19,8
113,58,27,2
148,42,7,0
76,45,12,5
63,60,21,5
78,46,12,13
71,70,17,13
112,57,0,3
89,66,26,12
90,38,10,3
80,44,5,5
107,76,16,10
18,57,22,0
51,74,25,0
81,42,13,4
93,44,22,13
88,66,25,4
30,55,0,1
48,89,12,0
103,62,16,8
54,52,28,8
80,56,5,1
31,69,10,9
41,73,18,2
76,53,22,16
27,51,25,5
76,42,33,7
36,62,12,1
53,43,13,0
97,35,2,10
48,39,15,9
93,30,27,0
106,41,25,0
67,53,30,10
57,40,10,0
90,55,17,13
62,52,0,2
104,45,25,3
107,36,5,7
94,63,42,7
68,53,30,4
98,40,22,2
114,74,17,10
103,45,15,9
48,48,16,1
83,77,14,0
81,42,11,9
100,32,27,8
89,42,27,2
74,51,10,0
79,67,18,0
85,61,6,4
119,23,0,4
90,48,25,0
48,61,5,5
93,33,14,2
58,35,0,7
115,31,36,5
82,48,20,7
31,30,16,5
116,60,9,7
69,64,17,4
90,54,15,0
62,52,27,3
44,53,21,7
81,43,25,3
61,81,21,3
92,71,10,1
66,52,0,6
61,34,0,3
34,52,21,1
75,88,25,5
64,56,3,3
62,42,22,0
39,37,10,0
35,42,1,4
12,63,3,6
26,47,18,5
77,31,13,15
30,48,29,8
42,33,12,5
99,45,29,15
59,56,23,3
100,59,14,3
82,47,18,8
90,54,11,14
81,53,0,2
65,70,19,5
53,43,15,10
67,59,5,0
81,36,18,6
76,72,13,9
94,31,13,8
86,65,9,3
63,68,9,1
65,38,19,12
84,30,25,8
103,69,23,0
28,31,2,2
38,46,23,9
74,73,24,3
78,62,12,0
77,58,0,13
23,72,14,1
55,45,35,3
88,74,6,7
93,53,11,9
93,63,0,10
92,74,16,0
100,58,5,3
47,67,23,4
93,20,8,6
104,60,12,7
58,39,19,0
40,36,20,12
28,31,0,2
29,46,14,5
86,56,13,1
57,48,0,5
98,44,9,7
79,30,18,0
65,56,17,0
55,31,12,7
92,48,0,9
45,36,11,9
54,47,11,0
96,46,22,9
80,71,25,5
82,64,22,10
97,76,12,9
50,34,21,4
56,73,5,8
63,59,18,3
46,45,15,3
94,44,16,9
50,41,13,6
90,48,26,2
65,49,32,2
106,70,20,0
94,25,30,15
77,55,9,1
105,36,0,14
60,63,12,12
104,38,22,7
64,42,14,7
84,52,16,7
94,33,21,3
42,48,5,5
41,51,7,0
84,60,18,6
56,59,29,0
70,28,11,8
121,52,0,0
89,64,15,10
93,58,14,3
83,61,17,10
74,27,13,2
67,15,16,0
88,15,15,1
118,53,32,0
87,23,16,16
73,43,35,1
82,54,13,4
87,38,12,0
134,39,29,4
56,66,11,5
80,50,9,6
101,52,19,7
68,67,0,6
13,67,21,0
74,38,36,9
96,38,5,3
114,61,28,3
75,31,34,7
107,51,12,14
68,23,13,4
137,82,0,7
76,41,19,6
117,46,10,3
67,65,0,1
66,48,0,7
20,45,14,16
44,57,12,6
64,57,4,0
82,54,12,0
17,58,0,4
98,70,12,1
57,26,8,6
98,54,20,4
80,66,11,8
55,46,24,1
87,63,6,11
70,36,30,12
66,55,9,5
87,50,20,6
67,70,10,0
112,52,2,10
56,42,25,5
24,14,0,10
81,72,13,1
100,80,12,3
80,32,21,12
84,41,16,0
66,31,15,16
128,50,8,0
102,69,16,3
65,60,24,9
66,81,21,5
111,36,18,5
96,70,19,7
41,23,38,0
104,62,16,15
93,39,11,2
72,53,38,0
101,61,19,12
108,30,12,0
35,40,6,6
99,66,4,0
55,59,20,4
107,33,13,12
77,46,19,8
25,56,17,7
36,30,4,9
84,38,11,8
59,68,13,11
67,77,7,9
41,63,7,5
113,11,12,10
69,88,29,0
59,79,15,9
90,55,37,3
68,60,5,14
66,47,7,0
34,39,0,13
57,51,9,4
60,20,0,8
47,61,0,2
86,43,23,0
55,27,8,0
58,10,14,6
29,44,26,6
69,41,31,12
97,65,7,5
75,62,0,0
46,58,12,0
66,22,6,6
36,61,17,11
58,61,14,4
65,56,17,0
106,55,23,2
65,44,0,7
39,41,27,7
72,33,16,12
85,68,9,10
49,33,8,0
76,27,42,7
77,59,5,5
13,38,7,0
53,60,1,6
58,19,21,10
89,51,7,7
73,76,15,3
90,25,18,3
57,47,36,17
71,44,6,4
84,74,8,19
103,33,17,7
76,72,25,9
110,46,20,11
73,86,2,5
87,47,18,3
53,41,33,6
79,54,28,5
73,47,0,19
85,44,16,1
67,43,30,0
76,35,12,7
93,70,0,10
65,56,18,2
107,51,20,15
56,48,14,6
61,64,24,8
77,50,29,6
75,87,26,4
122,53,24,13
87,38,26,7
87,61,14,2
84,45,14,14
119,42,29,4
74,44,15,0
45,44,3,0
80,53,7,0
79,80,6,2
59,63,19,1
81,73,9,1
79,61,22,3
57,30,7,1
71,70,10,0
59,38,26,8
53,33,26,3
110,77,16,5
53,19,13,9
109,53,16,6
101,49,20,4
16,77,8,14
84,30,22,6
67,47,15,0
88,42,11,9
80,40,9,1
107,45,11,5
67,57,19,13
81,45,24,11
100,71,10,12
41,58,12,10
70,20,19,5
88,55,16,6
61,50,29,9
116,58,17,4
79,57,16,7
60,44,28,0
101,30,25,7
49,37,8,0
80,42,15,0
57,66,11,0
37,52,14,10
78,31,28,2
70,65,28,5
63,62,23,0
