Day.1.Run,Day.1.RunName,Day.1.WIND_DIRECTION,Day.1.RELEASE_ALT,Day.1.RELEASE_MASS,Day.1.MASS_MEAN_DIAMETER,Day.1.Fatalities,Day.2.Run,Day.2.RunName,Day.2.WIND_DIRECTION,Day.2.RELEASE_ALT,Day.2.RELEASE_MASS,Day.2.MASS_MEAN_DIAMETER,Day.2.Fatalities,Day.3.Run,Day.3.RunName,Day.3.WIND_DIRECTION,Day.3.RELEASE_ALT,Day.3.RELEASE_MASS,Day.3.MASS_MEAN_DIAMETER,Day.3.Fatalities
2812,Run_2812,240,180,1000,6.00E-05,8,721,Run_721,140,0,1000,1.00E-05,16,2282,Run_2282,220,80,1400,2.00E-05,28
3101,Run_3101,260,140,1000,8.00E-05,10,3186,Run_3186,260,180,1400,1.00E-04,12,3818,Run_3818,300,140,1000,2.00E-05,26
2852,Run_2852,240,200,1200,2.00E-05,8,3385,Run_3385,280,100,1000,1.00E-05,12,385,Run_385,120,0,1800,1.00E-05,25
3098,Run_3098,260,140,1000,2.00E-05,10,368,Run_368,120,0,1200,2.00E-05,18,2945,Run_2945,260,20,1800,8.00E-05,22
3133,Run_3133,260,160,1000,1.00E-05,8,2910,Run_2910,260,0,1800,1.00E-04,18,28,Run_28,100,0,1800,6.00E-05,26
3425,Run_3425,280,120,1000,8.00E-05,10,3756,Run_3756,300,100,1200,1.00E-04,27,1128,Run_1128,160,20,1200,1.00E-04,28
3929,Run_3929,300,200,1000,8.00E-05,8,2721,Run_2721,240,120,1600,4.00E-05,26,2511,Run_2511,220,200,1800,4.00E-05,24
3208,Run_3208,260,200,1000,6.00E-05,4,3896,Run_3896,300,180,1200,2.00E-05,30,2757,Run_2757,240,140,1600,4.00E-05,26
3571,Run_3571,280,200,1200,1.00E-05,7,2735,Run_2735,240,120,2000,8.00E-05,29,1733,Run_1733,180,180,1000,8.00E-05,24
3459,Run_3459,280,140,1000,4.00E-05,10,3198,Run_3198,260,180,1800,1.00E-04,26,1824,Run_1824,200,0,1600,1.00E-04,24
3928,Run_3928,300,200,1000,6.00E-05,9,2664,Run_2664,240,80,2000,1.00E-04,26,2193,Run_2193,220,0,2000,4.00E-05,22
2490,Run_2490,220,200,1000,1.00E-04,5,3585,Run_3585,280,200,1600,4.00E-05,22,1772,Run_1772,180,200,1200,2.00E-05,29
3570,Run_3570,280,200,1000,1.00E-04,3,2220,Run_2220,220,20,1600,1.00E-04,26,2210,Run_2210,220,20,1400,2.00E-05,24
2809,Run_2809,240,180,1000,1.00E-05,7,2395,Run_2395,220,140,1600,1.00E-05,30,3718,Run_3718,300,80,1200,6.00E-05,28
2634,Run_2634,240,80,1000,1.00E-04,10,2105,Run_2105,200,180,1400,8.00E-05,30,2801,Run_2801,240,160,1800,8.00E-05,24
3354,Run_3354,280,80,1000,1.00E-04,10,3701,Run_3701,300,40,1800,8.00E-05,38,3593,Run_3593,280,200,1800,8.00E-05,26
2811,Run_2811,240,180,1000,4.00E-05,8,441,Run_441,120,40,1200,4.00E-05,36,3437,Run_3437,280,120,1400,8.00E-05,24
3178,Run_3178,260,180,1200,6.00E-05,9,1864,Run_1864,200,20,1800,6.00E-05,34,2641,Run_2641,240,80,1400,1.00E-05,22
3536,Run_3536,280,180,1200,2.00E-05,10,1932,Run_1932,200,80,1600,1.00E-04,38,1478,Run_1478,180,20,1000,2.00E-05,24
3927,Run_3927,300,200,1000,4.00E-05,10,1862,Run_1862,200,20,1800,2.00E-05,34,113,Run_113,100,80,1000,8.00E-05,29
3180,Run_3180,260,180,1200,1.00E-04,8,786,Run_786,140,20,1800,1.00E-04,38,3346,Run_3346,280,40,2000,6.00E-05,27
3099,Run_3099,260,140,1000,4.00E-05,10,1885,Run_1885,200,40,1400,1.00E-05,39,3508,Run_3508,280,160,1400,6.00E-05,23
3214,Run_3214,260,200,1200,6.00E-05,7,1266,Run_1266,160,120,1000,1.00E-04,36,2147,Run_2147,200,200,1600,8.00E-05,30
3171,Run_3171,260,180,1000,4.00E-05,6,2118,Run_2118,200,180,1800,1.00E-04,36,751,Run_751,140,0,2000,1.00E-05,26
2856,Run_2856,240,200,1200,1.00E-04,6,3161,Run_3161,260,160,1800,8.00E-05,31,3347,Run_3347,280,40,2000,8.00E-05,26
3568,Run_3568,280,200,1000,6.00E-05,4,3440,Run_3440,280,120,1600,2.00E-05,32,2298,Run_2298,220,80,1800,1.00E-04,29
2454,Run_2454,220,180,1000,1.00E-04,8,2268,Run_2268,220,40,2000,1.00E-04,36,1407,Run_1407,160,200,1000,4.00E-05,21
2846,Run_2846,240,200,1000,2.00E-05,4,60,Run_60,100,20,1600,1.00E-04,34,1372,Run_1372,160,180,1000,6.00E-05,30
