Run,RELEASE_ALT,RELEASE_MASS,RunName,Fatalities,MASS_MEAN_DIAMETER,WIND_DIRECTION,Day
1780,200,1400,Run_1780,36,6.00E-05,180,1
1782,200,1400,Run_1782,34,1.00E-04,180,1
1788,200,1600,Run_1788,40,1.00E-04,180,1
1794,200,1800,Run_1794,41,1.00E-04,180,1
1801,0,1000,Run_1801,14,1.00E-05,200,1
1815,0,1400,Run_1815,20,4.00E-05,200,1
1820,0,1600,Run_1820,22,2.00E-05,200,1
1824,0,1600,Run_1824,24,1.00E-04,200,1
1831,0,2000,Run_1831,26,1.00E-05,200,1
1848,20,1200,Run_1848,27,1.00E-04,200,1
1849,20,1400,Run_1849,30,1.00E-05,200,1
1851,20,1400,Run_1851,30,4.00E-05,200,1
1853,20,1400,Run_1853,29,8.00E-05,200,1
1861,20,1800,Run_1861,34,1.00E-05,200,1
1863,20,1800,Run_1863,34,4.00E-05,200,1
1874,40,1000,Run_1874,30,2.00E-05,200,1
1936,80,1800,Run_1936,44,6.00E-05,200,1
1940,80,2000,Run_1940,49,2.00E-05,200,1
1941,80,2000,Run_1941,48,4.00E-05,200,1
1944,80,2000,Run_1944,44,1.00E-04,200,1
1946,100,1000,Run_1946,30,2.00E-05,200,1
1952,100,1200,Run_1952,36,2.00E-05,200,1
1973,100,1800,Run_1973,40,8.00E-05,200,1
1980,100,2000,Run_1980,41,1.00E-04,200,1
2022,140,1000,Run_2022,24,1.00E-04,200,1
2029,140,1400,Run_2029,38,1.00E-05,200,1
2035,140,1600,Run_2035,40,1.00E-05,200,1
2041,140,1800,Run_2041,42,1.00E-05,200,1
2063,160,1200,Run_2063,28,8.00E-05,200,1
2066,160,1400,Run_2066,35,2.00E-05,200,1
2080,160,1800,Run_2080,40,6.00E-05,200,1
2110,180,1600,Run_2110,36,6.00E-05,200,1
2117,180,1800,Run_2117,36,8.00E-05,200,1
2120,180,2000,Run_2120,41,2.00E-05,200,1
2132,200,1200,Run_2132,22,2.00E-05,200,1
2137,200,1400,Run_2137,28,1.00E-05,200,1
2138,200,1400,Run_2138,28,2.00E-05,200,1
2140,200,1400,Run_2140,27,6.00E-05,200,1
2142,200,1400,Run_2142,26,1.00E-04,200,1
2147,200,1600,Run_2147,30,8.00E-05,200,1
2164,0,1000,Run_2164,16,6.00E-05,220,1
2166,0,1000,Run_2166,16,1.00E-04,220,1
2169,0,1200,Run_2169,17,4.00E-05,220,1
2170,0,1200,Run_2170,17,6.00E-05,220,1
2173,0,1400,Run_2173,18,1.00E-05,220,1
2177,0,1400,Run_2177,19,8.00E-05,220,1
